id	text	class	predict_begin	predict_end	predict_span	predict_label
SMM4H2022kTAEfoI5e0X5KVV9	Constipation is often a side effect of Tramadol.	ADE	0	12	constipation	10010774
SMM4H2022ipzOmCaYdin8N6UV	dunno if i need a xanax or a nap.	ADE	29	32	nap	10080365
SMM4H2022luVGNLriRHt3SjjQ	@USER__ After the prozac made me crazy we tried a bunch of things and eventually viibryd worked for me. It's pretty pricy though	ADE	31	36	crazy	10026883
SMM4H2022xcBRWRomlUr6vTQ6	advair literally made me shrink an inch how is that possible	ADE	25	39	shrink an inch	10016905
SMM4H2022JIDWkBwKVLhyH0bj	@USER__ for some reason that doesn't help much maybe cuz she used to take it for so long  must have built a tolerance or something! have u tried lyrica?	ADE	105	114	tolerance	10018429
SMM4H2022PQyQvLLBtnADZyEm	popped an adderall and now i'm excessively sweating	ADE	43	51	sweating	10042652
SMM4H20222qQfcDHQPVLU62Oc	with the tysabri i don't ache much but i do at times. with the rebif i ached so bad it was unbearable at times. flu like symptoms i had.	ADE	25	75	ache much but i do at times with the rebif i ached	10003988
SMM4H2022XlHHCXxB05cwTDkh	neurontin helps my pain so much but basically puts me in a coma, of course. can't win	ADE	59	63	coma	10019744
SMM4H2022tyFBAZMyfe7mpOki	i'm allergic to tramadol, codeine, buprenorphine and tapentadol yet my gp has prescribed me oxycodone. if i die this week ya'll know why	ADE	4	12	allergic	10061557
SMM4H2022RZHYRd0PYRPxnaeA	@USER_______ tired after the tysabri infusion? i am...	ADE	6	11	tired	10003552
SMM4H2022RLWOmUM15IZAYqcK	@USER_________ i got the joint pain from remicade, humira made it worse &amp; gave me neuropathy in my feet &amp; my hair falling out like crazy	ADE	16	26	joint pain	10024453
SMM4H20228u4rDDtUW75HPlGz	Guess snortin’ Adderall can leave you kinda glassy eyed and make your makeup drip off your cheeks	ADE	43	54	glassy eyed	10070831
SMM4H2022XPeP8rMssSQRBGpM	@USER______ desvenlafaxine makes you lose weight though because you can't eat anything on it, it's killer. but it's been keeping me saner.	ADE	31	42	lose weight	10049084
SMM4H20228IbyEkgqki7lku98	@USER__________ prednisone is slowly killing me slowly. humira got me sicker. remicade stopped working :(	ADE	59	65	sicker	10075578
SMM4H2022kQIN1iSIsrvD865H	also so glad they gave me percocets instead of t3s. oxycodone helps so much more than codeine. inb4 opiate withdrawels though.	ADE	98	116	opiate withdrawels	10070863
SMM4H2022kvXIVrlQ56rPcc61	omfg i just had to take an imodium and at first i couldn't swallow it but now i have this weird taste in my mouth. it's not that bad though.	ADE	90	113	weird taste in my mouth	10013911
SMM4H2022wdtwKtzOdZT8E4mC	@USER_________ i would think so because adderall makes you not want to eat even more? probably get sick maybe	ADE	50	65	not want to eat	10061148
SMM4H2022Oi7joqB51lAPYSAn	The answer is very simple. Helping vets doesn't give him a boner like military hardware parades and campaign style rallies do. It's that damned Viagra tolerance he's acquired.	ADE	4	158	answer is very simple helping vets doesn t give him a boner like military hardware parades and campaign style rallies do it s that damned viagra tolerance	10033081
SMM4H2022QkM3SaWszeGwVZpn	@USER_______ we sure do. or new treatments. i'm on humira now. remicade almost killed me.	ADE	62	78	almost killed me	10012711
SMM4H2022NWydEIMKkNub4BPC	told va last year, crestor worked for me, did not cause muscle pain; on my 3rd cholesterol med trial, all cause muscle pain. #govthealthcare	ADE	54	65	muscle pain	10010550
SMM4H2022y75JIxjHTjwvM8OA	pregabalin for the pain. hello new meds! has anyone tried this before? makes me drowsy.	ADE	77	83	drowsy	10035735
SMM4H2022ubH3jzS4yIDeoc02	@USER__ @USER____ i have no idea what loritidine is - but advair and albuterol make my heart rate soar and hands all jittery - it sucks	ADE	89	115	soar and hands all jittery	10033425
SMM4H2022Er0WoCGXDmsFfQo6	this tamiflu is making me feel worse than i already feel and i don't think the z pack is helping :(	ADE	26	36	feel worse	10000173
SMM4H2022IqLsfekU1FxBtnUR	i try to be sexy, sad or quiet. so i'm ranting about how the antibiotic levaquin has caused me permanent nerve damage over @USER__________	ADE	103	115	nerve damage	10000111
